,City,Country,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed,Description,Sunrise
0,Nelson Bay,AU,-32.7167,152.15,46.29,83,0,5.79,moderate rain,1630181589
1,Tuktoyaktuk,CA,69.4541,-133.0374,51.8,82,90,9.22,overcast clouds,1630155386
2,Port Alfred,ZA,-33.5906,26.891,49.78,76,59,10.45,light rain,1630125349
3,Castro,BR,-24.7911,-50.0119,55.27,98,100,9.8,overcast clouds,1630143338
4,Butaritari,KI,3.0707,172.7902,82.67,74,34,10.51,light rain,1630175082
5,Rikitea,PF,-23.1203,-134.9692,73.76,71,0,20.6,clear sky,1630163636
6,Vaini,TO,-21.2,-175.2,71.76,78,75,6.91,broken clouds,1630259547
7,Tutóia,BR,-2.7619,-42.2744,80.56,70,13,17.2,few clouds,1630140540
8,Hobart,AU,-42.8794,147.3294,40.15,93,75,3.0,broken clouds,1630183367
9,Cabinda,AO,-5.55,12.2,72.73,88,33,8.21,scattered clouds,1630127583
10,Tasiilaq,GL,65.6145,-37.6368,46.56,99,100,4.7,overcast clouds,1630133725
11,Punta Arenas,CL,-53.15,-70.9167,41.11,81,75,16.11,broken clouds,1630150278
12,Harrismith,ZA,-28.2728,29.1295,32.2,80,53,7.27,broken clouds,1630124528
13,Qaanaaq,GL,77.484,-69.3632,36.07,98,100,5.41,overcast clouds,1630133728
14,Xuchang,CN,34.0167,113.8167,68.88,99,100,5.03,light rain,1630187773
15,Mar del Plata,AR,-38.0023,-57.5575,62.62,63,0,6.91,clear sky,1630145858
16,Pierre,US,44.3683,-100.351,81.86,50,75,1.99,broken clouds,1630152007
17,Nikolskoye,RU,59.7035,30.7861,60.69,88,46,5.03,scattered clouds,1630205149
18,Busselton,AU,-33.65,115.3333,53.04,84,48,13.0,scattered clouds,1630190468
19,Portland,US,45.5234,-122.6762,84.29,37,20,3.0,few clouds,1630157269
20,São João da Barra,BR,-21.6403,-41.0511,73.49,86,17,8.77,few clouds,1630141042
21,Arkhangelsk,RU,64.5401,40.5433,41.11,100,0,2.24,clear sky,1630201794
22,Nerang,AU,-27.9833,153.3333,57.79,66,0,2.01,clear sky,1630181062
23,Cape Town,ZA,-33.9258,18.4232,41.34,87,0,5.75,clear sky,1630127398
24,Hermanus,ZA,-34.4187,19.2345,37.8,68,67,5.28,broken clouds,1630127232
25,Margate,GB,51.3813,1.3862,60.08,77,15,4.0,few clouds,1630126874
26,Río Cuarto,AR,-33.1307,-64.3499,71.04,38,21,8.05,few clouds,1630147202
27,Saldanha,ZA,-33.0117,17.9442,41.05,68,14,4.32,few clouds,1630127462
28,Praia da Vitória,PT,38.7333,-27.0667,73.65,94,20,9.95,few clouds,1630134845
29,Saint-Philippe,RE,-21.3585,55.7679,69.76,93,100,16.44,moderate rain,1630204155
30,Odesskoye,RU,54.2111,72.9651,56.44,86,100,9.22,overcast clouds,1630195833
31,Herat Province,AF,34.5,62.0,74.53,21,0,29.93,clear sky,1630200186
32,Bredasdorp,ZA,-34.5322,20.0403,40.32,87,75,4.61,broken clouds,1630127045
33,Jamestown,US,42.097,-79.2353,85.24,65,1,1.99,clear sky,1630147122
34,Mataura,NZ,-46.1927,168.8643,44.47,89,100,1.83,overcast clouds,1630178452
35,Hithadhoo,MV,-0.6,73.0833,82.02,73,26,12.66,scattered clouds,1630199154
36,Koutiala,ML,12.3917,-5.4642,73.98,91,100,3.49,light rain,1630131077
37,Cidreira,BR,-30.1811,-50.2056,60.64,77,0,18.92,clear sky,1630143652
38,Sørland,NO,67.667,12.6934,53.92,84,53,2.98,broken clouds,1630120980
39,Flinders,AU,-34.5833,150.8552,47.16,90,13,1.01,few clouds,1630182003
40,Galle,LK,6.0367,80.217,79.03,87,95,16.49,overcast clouds,1630197177
41,Ushuaia,AR,-54.8,-68.3,42.46,70,40,10.36,scattered clouds,1630149835
42,Natal,BR,-5.795,-35.2094,79.02,78,75,10.36,broken clouds,1630138968
43,Sakakah,SA,29.9697,40.2064,96.37,12,16,6.73,few clouds,1630205682
44,Štětí,CZ,50.453,14.3742,55.8,81,96,4.23,overcast clouds,1630123858
45,Chicama,PE,-7.8447,-79.1469,61.34,70,89,9.8,overcast clouds,1630149593
46,Bluff,NZ,-46.6,168.3333,44.8,71,99,6.55,overcast clouds,1630178612
47,São Francisco,BR,-15.9486,-44.8644,78.64,42,83,9.35,broken clouds,1630141706
48,Oktyabr'skiy,RU,54.4815,53.471,46.06,75,4,5.48,clear sky,1630200483
49,Norman Wells,CA,65.282,-126.8329,59.04,77,75,17.27,broken clouds,1630155272
50,Chui,UY,-33.6971,-53.4616,54.01,80,100,8.5,overcast clouds,1630144622
51,Laval,CA,45.57,-73.692,63.64,84,90,1.99,light rain,1630145499
52,Vila Velha,BR,-20.3297,-40.2925,75.15,73,20,4.61,few clouds,1630140801
53,Oranjemund,NA,-28.55,16.4333,52.47,69,0,15.46,clear sky,1630127587
54,Bayanday,RU,53.0661,105.5139,47.12,83,2,4.52,clear sky,1630188155
55,Yellowknife,CA,62.456,-114.3525,68.52,64,40,9.22,scattered clouds,1630152955
56,Mascote,BR,-15.5631,-39.3025,74.71,95,19,1.28,few clouds,1630140355
57,Opuwo,NA,-18.0607,13.84,66.87,20,0,7.05,clear sky,1630127715
58,Mareeba,AU,-17.0,145.4333,67.41,95,35,3.44,scattered clouds,1630182459
59,Abomsa,ET,9.9833,39.9833,73.65,50,50,7.14,scattered clouds,1630206672
60,Charyshskoye,RU,51.3978,83.5598,54.61,63,2,5.19,clear sky,1630193624
61,Chokurdakh,RU,70.6333,147.9167,35.65,96,100,6.98,light rain,1630173906
62,Half Moon Bay,US,37.4636,-122.4286,94.68,27,1,8.05,smoke,1630157834
63,Jimo,CN,36.3897,120.4622,69.58,94,40,4.47,moderate rain,1630186028
64,Tsaratanana,MG,-16.7833,47.65,68.47,73,61,10.31,broken clouds,1630205905
65,Ribeira Brava,PT,32.65,-17.0667,72.95,76,4,5.03,clear sky,1630132843
66,Pestretsy,RU,55.7531,49.6545,50.14,72,0,5.37,clear sky,1630201229
67,Faanui,PF,-16.4833,-151.75,79.39,73,14,6.4,few clouds,1630167368
68,Zhengjiatun,CN,43.5064,123.5064,60.26,96,34,5.37,scattered clouds,1630184779
69,Morant Bay,JM,17.8815,-76.4093,85.62,80,80,10.65,broken clouds,1630147860
70,São Gabriel da Cachoeira,BR,-0.1303,-67.0892,82.26,72,58,0.76,broken clouds,1630146387
71,Sainte-Anne-des-Monts,CA,49.124,-66.4924,58.87,69,89,8.66,overcast clouds,1630143428
72,Lansdale,US,40.2415,-75.2838,70.12,83,90,11.01,overcast clouds,1630146315
73,Adrar,MR,20.5022,-10.0711,97.81,21,15,3.96,few clouds,1630131813
74,Matagami,CA,49.7502,-77.6328,60.91,72,90,12.66,overcast clouds,1630146039
75,Mumbwa,ZM,-14.9783,27.0619,70.18,27,6,4.59,clear sky,1630124410
76,Khatanga,RU,71.9667,102.5,34.5,98,100,12.21,light rain,1630184179
77,Esperance,AU,-33.8667,121.9,49.84,75,100,13.82,overcast clouds,1630188906
78,Lata,PT,40.1629,-8.3327,64.42,95,38,2.04,scattered clouds,1630130242
79,Taltal,CL,-25.4,-70.4833,63.19,70,18,6.02,few clouds,1630148277
80,Kruisfontein,ZA,-34.0033,24.7314,45.88,73,28,7.78,scattered clouds,1630125890
81,Białogard,PL,54.007,15.9875,55.31,98,99,2.93,overcast clouds,1630123044
82,Pisco,PE,-13.7,-76.2167,62.65,77,0,9.22,clear sky,1630149131
83,Torbay,CA,47.6666,-52.7314,54.81,91,75,20.71,light intensity shower rain,1630140268
84,Thinadhoo,MV,0.5333,72.9333,82.33,71,91,14.63,overcast clouds,1630199145
85,New Norfolk,AU,-42.7826,147.0587,39.85,86,100,2.44,overcast clouds,1630183426
86,Geraldton,AU,-28.7667,114.6,46.81,93,98,6.91,overcast clouds,1630190390
87,Mnogovershinnyy,RU,53.9353,139.9242,53.35,99,100,5.23,light rain,1630179778
88,Sinnamary,GF,5.3833,-52.95,79.2,90,51,10.4,broken clouds,1630142770
89,Carnarvon,AU,-24.8667,113.6333,55.47,50,62,9.22,broken clouds,1630190435
90,Erdaojiang,CN,41.7764,126.0319,60.35,90,100,2.55,overcast clouds,1630184309
91,Golden Gate,US,26.1879,-81.6951,77.72,94,75,6.91,light rain,1630148723
92,Havøysund,NO,70.9963,24.6622,47.28,71,100,8.37,overcast clouds,1630116731
93,Alugan,PH,12.2188,125.4808,78.46,86,100,4.07,overcast clouds,1630186059
94,Vanimo,PG,-2.6741,141.3028,78.85,87,66,6.49,broken clouds,1630182867
95,Bethel,US,41.3712,-73.414,70.02,77,90,5.75,overcast clouds,1630145780
96,La Palma,US,33.8464,-118.0467,87.58,53,20,1.99,few clouds,1630157016
97,Ingham,US,42.6,-84.3833,88.36,66,40,3.44,scattered clouds,1630148318
98,Anadyr,RU,64.75,177.4833,54.1,94,75,4.47,broken clouds,1630168805
99,Cabo San Lucas,MX,22.8909,-109.9124,93.27,58,1,16.11,clear sky,1630155664
100,Ariquemes,BR,-9.9133,-63.0408,87.87,42,81,2.93,broken clouds,1630145813
101,Le Port,RE,-20.9373,55.2919,69.73,86,81,7.72,light rain,1630204250
102,Albany,US,42.6001,-73.9662,67.93,66,68,8.86,broken clouds,1630145816
103,Sovetskiy,RU,61.3614,63.5842,49.33,70,99,4.79,overcast clouds,1630196956
104,Bambous Virieux,MU,-20.3428,57.7575,70.05,100,75,18.41,moderate rain,1630203633
105,Porto-Novo,BJ,6.4965,2.6036,80.42,90,99,10.25,overcast clouds,1630129392
106,Thompson,CA,55.7435,-97.8558,69.96,49,75,5.75,broken clouds,1630150165
